,sig_mos,bak_mos,ovr_mos
dev/1/S07_P20_34.wav,2.326375296131648,3.4048311587006723,2.1262444399900486
dev/1/S07_P20_35.wav,2.266731166898717,3.5833466670103404,2.0270627290344376
dev/1/S07_P20_36.wav,2.15670302295627,3.55789475751463,2.037680864991158
dev/1/S07_P20_37.wav,1.941561741906168,3.373698642488256,1.9949101447600144
dev/1/S07_P20_39.wav,2.332905729653546,3.580073350826286,2.246262622513238
dev/1/S07_P20_40.wav,2.259642507932909,3.7784070662138456,2.1104725675807643
dev/1/S07_P20_42.wav,2.0602482518365446,3.460799862628186,1.984587546636737
dev/1/S07_P20_44.wav,2.2221508147230216,3.517150311589736,2.0438208802543936
dev/1/S07_P20_45.wav,2.2517330009771728,3.544028757134679,2.045022719668673
dev/1/S07_P20_46.wav,2.170095677748144,3.5792765823072044,2.1009070141878805
dev/1/S07_P20_47.wav,2.492640584681852,3.664937705853288,2.3290097882796856
dev/1/S07_P20_48.wav,2.056065744547073,3.2925156763100407,2.077815068142648
dev/1/S07_P20_49.wav,2.1691039929042875,3.237289602950409,2.132783689033689
dev/1/S07_P20_50.wav,2.2407957954251567,3.446204626785965,2.047904228836192
dev/1/S07_P20_51.wav,2.368081202951401,3.203546827115776,2.0313076463713378
dev/1/S07_P20_52.wav,2.312102043164603,3.333013051778529,2.038607475892152
dev/1/S07_P20_53.wav,2.266557569609001,3.608583586587813,2.1059971270963884
dev/1/S07_P20_54.wav,1.9991149459852668,3.5661407670178784,2.100904055326805
dev/1/S07_P20_55.wav,2.212104298071168,3.524942599334499,2.203444169124727
dev/1/S07_P20_56.wav,2.2341550118939515,3.825369155390094,2.232001253222028
dev/1/S07_P20_57.wav,2.184653001837797,3.617949765894028,2.061320185367843
dev/1/S07_P20_61.wav,2.063363543151336,3.6268316622996686,2.194448062792453
dev/1/S07_P20_62.wav,2.1205249404797017,3.4457862514933324,2.0321575692019334
dev/1/S07_P20_63.wav,2.150463453424688,3.266676780219841,2.2027443197504404
dev/1/S07_P20_64.wav,2.0709830597582384,3.342516062170886,1.9546434242546744
dev/1/S07_P20_65.wav,2.313399034621002,3.493459679617005,2.1413021360940334
dev/1/S07_P20_66.wav,2.409568056840187,3.238907427086044,2.338709344950073
dev/1/S07_P20_67.wav,2.797837937370753,3.670395020998812,2.4696152905193705
dev/1/S07_P20_68.wav,2.189850442365891,3.412395043003722,2.201796989919325
dev/1/S07_P20_69.wav,2.1932146472232943,3.3519533368283168,1.9631279776227888
dev/1/S07_P20_70.wav,2.0070770237516222,3.5195311095093107,2.108558019113448
